iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
URY,South America,Uruguay,2022-05-03,853170.0,7040.0,244801.375,2019.998,3485152,19.751,35.6,14.655,10.361,2.8,77.91,-32.522779,-55.765835,0.117,0.192,0.044
PNG,Oceania,Papua New Guinea,2022-05-03,41421.0,638.0,4542.272,69.964,9119005,18.22,22.6,3.808,2.142,,64.5,-6.314993,143.95555,0.011,0.009,0.116
NZL,Oceania,New Zealand,2022-05-03,222767.0,65.0,43455.709,12.68,5126300,18.206,37.9,15.322,9.72,2.61,82.29,-40.900557,174.885971,0.001,0.05,0.065
FIN,Europe,Finland,2022-05-03,671773.0,2387.0,121075.936,430.217,5548361,18.136,42.8,21.228,13.264,3.28,81.91,61.92411,25.748151,0.04,0.151,0.071
DZA,Africa,Algeria,2022-05-03,265227.0,6853.0,5944.578,153.597,44616626,17.348,29.1,6.211,3.857,1.9,76.88,28.033886,1.659626,0.114,0.06,0.569
PRY,South America,Paraguay,2022-05-03,643619.0,18460.0,89148.339,2556.914,7219641,17.144,26.5,6.378,3.833,1.3,74.25,-23.442503,-58.443832,0.308,0.145,0.092
NER,Africa,Niger,2022-05-03,8760.0,307.0,348.576,12.216,25130810,16.955,15.1,2.553,1.378,0.3,62.42,17.607789,8.081666,0.005,0.002,0.32
BLZ,North America,Belize,2022-05-03,56876.0,651.0,140464.048,1607.745,404915,16.426,25.0,3.853,2.279,1.3,74.62,17.189877,-88.49765,0.011,0.013,0.005
ARG,South America,Argentina,2022-05-03,8934328.0,126708.0,195903.229,2778.329,45605823,16.177,31.9,11.198,7.441,5.0,76.67,-38.416097,-63.616672,2.115,2.008,0.582
COG,Africa,Congo,2022-05-03,24020.0,378.0,4246.054,66.82,5657017,15.405,19.0,3.402,2.063,,64.57,,,0.006,0.005,0.072
NCL,Oceania,New Caledonia,2022-05-03,56833.0,302.0,197188.23,1047.822,288217,15.342,33.4,9.954,6.489,,77.55,-20.904305,165.618042,0.005,0.013,0.004
SAU,Asia,Saudi Arabia,2022-05-03,747119.0,9006.0,21140.482,254.834,35340680,15.322,31.9,3.295,1.845,2.7,75.13,23.885942,45.079162,0.15,0.168,0.451
MLI,Africa,Mali,2022-05-03,30398.0,724.0,1457.538,34.715,20855724,15.196,16.4,2.519,1.486,0.1,59.31,17.570692,-3.996166,0.012,0.007,0.266
OMN,Asia,Oman,2022-05-03,383874.0,4248.0,73491.55,813.267,5223376,14.98,30.7,2.355,1.53,1.6,77.86,21.512583,55.923255,0.071,0.086,0.067
NOR,Europe,Norway,2022-05-03,1305006.0,1664.0,238765.932,304.448,5465629,14.462,39.7,16.821,10.813,3.6,82.4,60.472024,8.468946,0.028,0.293,0.07
TKM,Asia,Turkmenistan,2021-08-29,,,,,6117933,12.253,26.9,4.277,2.541,7.4,68.19,38.969719,59.556278,,,0.078
TCD,Africa,Chad,2022-05-03,7257.0,190.0,429.028,11.233,16914985,11.833,16.7,2.486,1.446,,54.24,15.454166,18.732207,0.003,0.002,0.216
BOL,South America,Bolivia,2022-05-03,894551.0,21455.0,75598.398,1813.159,11832936,10.202,25.4,6.704,4.393,1.1,71.51,-16.290154,-63.588653,0.358,0.201,0.151
RUS,Europe,Russia,2022-05-03,16619507.0,348467.0,113900.875,2388.199,145912022,8.823,39.6,14.178,9.393,8.05,72.58,61.52401,105.318756,5.815,3.736,1.861
GAB,Africa,Gabon,2022-05-03,47559.0,303.0,20869.929,132.963,2278829,7.859,23.1,4.45,2.976,6.3,66.47,-0.803689,11.609444,0.005,0.011,0.029
CAF,Africa,Central African Republic,2022-05-03,14320.0,113.0,2910.577,22.968,4919987,7.479,18.3,3.655,2.251,1.0,53.28,6.611111,20.939444,0.002,0.003,0.063
KAZ,Asia,Kazakhstan,2022-05-03,1391984.0,18967.0,73281.762,998.528,18994958,6.681,30.6,6.991,4.625,6.7,73.6,48.019573,66.923684,0.317,0.313,0.242
MRT,Africa,Mauritania,2022-05-03,58646.0,980.0,12281.602,205.231,4775110,4.289,20.3,3.138,1.792,,64.92,21.00789,-10.940835,0.016,0.013,0.061
BWA,Africa,Botswana,2022-05-03,263950.0,2619.0,110105.788,1092.506,2397240,4.044,25.8,3.941,2.242,1.8,69.59,-22.328474,24.684866,0.044,0.059,0.031
CAN,North America,Canada,2022-05-03,3334009.0,36998.0,87580.556,971.895,38067913,4.037,41.4,16.984,10.797,2.5,82.43,56.130366,-106.346771,0.617,0.749,0.485
GUY,South America,Guyana,2022-05-03,63040.0,1223.0,79764.25,1547.457,790329,3.952,26.3,5.305,2.837,1.6,69.91,4.860416,-58.93018,0.02,0.014,0.01
LBY,Africa,Libya,2022-05-03,497279.0,6288.0,71463.144,903.638,6958538,3.623,29.0,4.424,2.816,3.7,72.91,26.3351,17.228331,0.105,0.112,0.089
SUR,South America,Suriname,2022-05-03,78487.0,1318.0,132624.646,2227.111,591798,3.612,29.6,6.933,4.229,3.1,71.68,3.919305,-56.027783,0.022,0.018,0.008
ISL,Europe,Iceland,2022-05-03,140929.0,68.0,382136.814,184.386,368792,3.404,37.3,14.431,9.207,2.91,82.99,64.963051,-19.020835,0.001,0.032,0.005
AUS,Oceania,Australia,2022-05-03,3362035.0,5416.0,130370.975,210.018,25788217,3.202,37.9,15.504,10.129,3.84,83.44,-25.274398,133.775136,0.09,0.756,0.329
NAM,Africa,Namibia,2022-05-03,157324.0,4013.0,60805.212,1551.011,2587344,3.078,22.0,3.552,2.085,,63.71,-22.95764,18.49041,0.067,0.035,0.033
MNG,Asia,Mongolia,2022-05-03,911183.0,2174.0,273687.54,652.994,3329282,1.98,28.6,4.031,2.421,7.0,69.87,46.862496,103.846656,0.036,0.205,0.042
GRL,North America,Greenland,2022-05-03,11806.0,20.0,207603.573,351.692,56868,0.137,,,,,71.7,71.706936,-42.604303,0.0,0.003,0.001
AIA,North America,Anguilla,2022-05-03,2555.0,9.0,168925.62,595.041,15125,,,,,,81.88,18.220554,-63.068615,0.0,0.001,0.0
BES,North America,Bonaire Sint Eustatius and Saba,2022-05-03,7616.0,31.0,287993.95,1172.244,26445,,,,,,77.79,,,0.001,0.002,0.0
COK,Oceania,Cook Islands,2022-05-03,2.0,,113.817,,17572,,,,,,76.25,-21.236736,-159.777671,,0.0,0.0
FLK,South America,Falkland Islands,2022-05-03,115.0,,32596.372,,3528,,,,,,81.44,,,,0.0,0.0
GGY,Europe,Guernsey,2022-02-28,,,,,63385,,,,,,,49.465691,-2.585278,,,0.001
JEY,Europe,Jersey,2022-02-27,,,,,101073,,,,,,,49.214439,-2.13125,,,0.001
MSR,North America,Montserrat,2022-05-03,164.0,2.0,32925.115,401.526,4981,,,,,,74.16,16.742498,-62.187366,0.0,0.0,0.0
NIU,Oceania,Niue,2021-11-24,,,,,1614,,,,,,73.71,-19.054445,-169.867233,,,0.0
PCN,Oceania,Pitcairn,2021-07-09,,,,,47,,,,,,,,,,,0.0
SHN,Africa,Saint Helena,2022-05-03,4.0,,656.276,,6095,,,,,,80.56,-24.143474,-10.030696,,0.0,0.0
SPM,North America,Saint Pierre and Miquelon,2022-05-03,1102.0,1.0,190954.774,173.28,5771,,,,,,81.07,46.941936,-56.27111,0.0,0.0,0.0
SSD,Africa,South Sudan,2022-05-03,16999.0,137.0,1493.58,12.037,11381377,,19.2,3.441,2.032,,57.85,,,0.002,0.004,0.145
SYR,Asia,Syria,2022-05-03,54963.0,3092.0,3007.435,169.186,18275704,,21.7,,2.577,1.5,72.7,34.802075,38.996815,0.052,0.012,0.233
TKL,Oceania,Tokelau,2021-12-10,,,,,1368,,,,,,81.86,-8.967363,-171.855881,,,0.0
TWN,Asia,Taiwan,2022-05-03,20797.0,853.0,871.809,35.758,23855008,,42.2,,8.353,,80.46,23.69781,120.960515,0.014,0.005,0.304
VAT,Europe,Vatican,2022-05-03,29.0,,35714.286,,812,,,,,,75.12,,,,0.0,0.0
WLF,Oceania,Wallis and Futuna,2022-05-03,454.0,7.0,40923.021,630.972,11094,,,,,,79.94,-13.768752,-177.156097,0.0,0.0,0.0
